EBIT_over_A,ln_A_over_L,RE_over_A,FCF_over_A,Solvency
-1.247357,-0.814616,0.10114,-0.594937,0
-0.678192,0.594385,-1.405303,-0.292114,0
-0.383531,1.470898,-0.734281,-0.359197,1
-0.363873,-0.417565,-1.231096,-0.032747,0
0.341087,0.773503,-0.093209,0.008652,1
-0.322919,0.803064,-0.935412,-0.418963,0
-0.316904,-0.750794,-2.698402,-0.146086,0
-0.369132,0.118124,-0.238676,-0.211083,0
-0.240492,-0.188715,-0.39783,0.247772,0
-0.249932,0.043649,-1.852421,-0.172947,0
-0.217581,0.815486,-0.334202,-0.010579,0
0.026204,1.439896,-0.586292,-0.144533,1
-0.166816,1.439896,-0.586292,-0.144533,1
-0.133901,0.336377,-0.59293,-0.007808,1
-0.127333,1.210715,-0.666969,-0.012356,1
